ID,Study,Experiment,Entered.by,Host,Host.type,Parasite,Parasite.type,Study.type,X_gradient,Gradient.category,Trait,Trait.type,Trait.category,Gradient.as.predicted,Statistics,Level_C,Level_X,N_C,N_X,Mean_C,Variation_C,Lwr_C,Upr_C,Mean_X,Variation_X,Lwr_X,Upr_X,Success_C,Success_X,Variation.Type,OR,OR_SE,OR_N,F_X,F_df,Chi2,Chi2_df,Slope,R,R_N,R_df,Slope_SE,Z_X,Z_N,Z_df,Z_SE,Data_source,Comment
298,Schluter-Vorberg et al. 2017. Aquatic Toxicology,39,AVS,Daphnia magna,Invertebrate,Pasteuria ramosa,Bacteria,Experimental,Wastewater treatment plant effluents,Pollution,Survival,Survivorship,Infected demographic,yes,Comparison,Control_Pasteuria,B_O3_Pasteuria,4,4,66.68,,43.46,90.61,97.25,,72.61,100,,,CI,,,,,,,,,,,,,,,,,Fig 5A,"Not clear if treated waste water is toxic, it could have more bacteria, meaning more food for Daphnia"
299,Schluter-Vorberg et al. 2017. Aquatic Toxicology,39,AVS,Daphnia magna,Invertebrate,Pasteuria ramosa,Bacteria,Experimental,Wastewater treatment plant effluents,Pollution,Survival,Survivorship,Infected demographic,yes,Comparison,Control_Pasteuria,BF_Pasteuria,4,4,66.68,,43.46,90.61,63.61,,40.75,88.61,,,CI,,,,,,,,,,,,,,,,,Fig 5A,"Not clear if treated waste water is toxic, it could have more bacteria, meaning more food for Daphnia"
300,Schluter-Vorberg et al. 2017. Aquatic Toxicology,39,AVS,Daphnia magna,Invertebrate,Pasteuria ramosa,Bacteria,Experimental,Wastewater treatment plant effluents,Pollution,Population growth rate,Fecundity,Uninfected demographic,yes,Comparison,Control_Placebo,B,4,4,0.31,,0.28,0.34,0.37,,0.35,0.4,,,CI,,,,,,,,,,,,,,,,,Fig 5 C,"Not clear if treated waste water is toxic, it could have more bacteria, meaning more food for Daphnia"
301,Schluter-Vorberg et al. 2017. Aquatic Toxicology,39,AVS,Daphnia magna,Invertebrate,Pasteuria ramosa,Bacteria,Experimental,Wastewater treatment plant effluents,Pollution,Population growth rate,Fecundity,Uninfected demographic,yes,Comparison,Control_Placebo,B_O3,4,4,0.31,,0.28,0.34,0.32,,0.3,0.35,,,CI,,,,,,,,,,,,,,,,,Fig 5 C,"Not clear if treated waste water is toxic, it could have more bacteria, meaning more food for Daphnia"
302,Schluter-Vorberg et al. 2017. Aquatic Toxicology,39,AVS,Daphnia magna,Invertebrate,Pasteuria ramosa,Bacteria,Experimental,Wastewater treatment plant effluents,Pollution,Population growth rate,Fecundity,Uninfected demographic,yes,Comparison,Control_Placebo,BF,4,4,0.31,,0.28,0.34,0.35,,0.32,0.38,,,CI,,,,,,,,,,,,,,,,,Fig 5 C,"Not clear if treated waste water is toxic, it could have more bacteria, meaning more food for Daphnia"
303,Schluter-Vorberg et al. 2017. Aquatic Toxicology,39,AVS,Daphnia magna,Invertebrate,Pasteuria ramosa,Bacteria,Experimental,Wastewater treatment plant effluents,Pollution,Population growth rate,Fecundity,Infected demographic,yes,Comparison,Control_Pasteuria,B_Pasteuria,4,4,0.23,,0.2,0.26,0.34,,0.32,0.38,,,CI,,,,,,,,,,,,,,,,,Fig 5 C,"Not clear if treated waste water is toxic, it could have more bacteria, meaning more food for Daphnia"
304,Schluter-Vorberg et al. 2017. Aquatic Toxicology,39,AVS,Daphnia magna,Invertebrate,Pasteuria ramosa,Bacteria,Experimental,Wastewater treatment plant effluents,Pollution,Population growth rate,Fecundity,Infected demographic,yes,Comparison,Control_Pasteuria,B_O3_Pasteuria,4,4,0.23,,0.2,0.26,0.33,,0.31,0.36,,,CI,,,,,,,,,,,,,,,,,Fig 5 C,"Not clear if treated waste water is toxic, it could have more bacteria, meaning more food for Daphnia"
305,Schluter-Vorberg et al. 2017. Aquatic Toxicology,39,AVS,Daphnia magna,Invertebrate,Pasteuria ramosa,Bacteria,Experimental,Wastewater treatment plant effluents,Pollution,Population growth rate,Fecundity,Infected demographic,yes,Comparison,Control_Pasteuria,BF_Pasteuria,4,4,0.23,,0.2,0.26,0.34,,0.31,0.38,,,CI,,,,,,,,,,,,,,,,,Fig 5 C,"Not clear if treated waste water is toxic, it could have more bacteria, meaning more food for Daphnia"
306,Schluter-Vorberg et al. 2017. Aquatic Toxicology,39,AVS,Daphnia magna,Invertebrate,Pasteuria ramosa,Bacteria,Experimental,Wastewater treatment plant effluents,Pollution,Sterilization / Prevalence,Prevalence,Epidemiological,yes,Comparison,Control_Pasteuria,B_Pasteuria,4,4,55.35,,39.06,72.65,22.71,,6.17,39.76,,,CI,,,,,,,,,,,,,,,,,Fig 5B,"P. ramosa causes sterilization when it infects Daphnia. Not clear if treated waste water is toxic, it could have more bacteria, meaning more food for Daphnia"
307,Schluter-Vorberg et al. 2017. Aquatic Toxicology,39,AVS,Daphnia magna,Invertebrate,Pasteuria ramosa,Bacteria,Experimental,Wastewater treatment plant effluents,Pollution,Sterilization / Prevalence,Prevalence,Epidemiological,yes,Comparison,Control_Pasteuria,B_O3_Pasteuria,4,4,55.35,,39.06,72.65,8.87,,0,26.42,,,CI,,,,,,,,,,,,,,,,,Fig 5B,"P. ramosa causes sterilization when it infects Daphnia. Not clear if treated waste water is toxic, it could have more bacteria, meaning more food for Daphnia"
308,Schluter-Vorberg et al. 2017. Aquatic Toxicology,39,AVS,Daphnia magna,Invertebrate,Pasteuria ramosa,Bacteria,Experimental,Wastewater treatment plant effluents,Pollution,Sterilization / Prevalence,Prevalence,Epidemiological,yes,Comparison,Control_Pasteuria,BF_Pasteuria,4,4,55.35,,39.06,72.65,16.34,,0.3,33.89,,,CI,,,,,,,,,,,,,,,,,Fig 5B,"P. ramosa causes sterilization when it infects Daphnia. Not clear if treated waste water is toxic, it could have more bacteria, meaning more food for Daphnia"
309,Sonn et al. 2017. EcoHealth,40,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Pathogen load,Intensity,Epidemiological,no,Comparison,23C,11C,11,11,0.75,0.32,,,3.87,0.61,,,,,SE,,,,,,,,,,,,,,,,,Fig1,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26) because the authors say that the immune system is doing better at higher temperatures. It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected"
310,Sonn et al. 2017. EcoHealth,40,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Pathogen load,Intensity,Epidemiological,no,Comparison,23C,17C,11,10,0.75,0.32,,,1.9,0.42,,,,,SE,,,,,,,,,,,,,,,,,Fig 1,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26). It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected"
311,Sonn et al. 2017. EcoHealth,41,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Pathogen load,Intensity,Epidemiological,no,Comparison,26C,14C,9,11,1.04,0.27,,,3.46,0.36,,,,,SE,,,,,,,,,,,,,,,,,Fig 1,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26). It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected"
312,Sonn et al. 2017. EcoHealth,41,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Pathogen load,Intensity,Epidemiological,no,Comparison,26C,20C,9,9,1.04,0.27,,,1.75,0.27,,,,,SE,,,,,,,,,,,,,,,,,Fig 1,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26). It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected"
313,Sonn et al. 2017. EcoHealth,40,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Prevalence,Prevalence,Epidemiological,no,Comparison,23C,11C,11,11,,,,,,,,,11,11,OR,,,,,,,,,,,,,,,,,Text results 1st paragraph,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26). It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected"
314,Sonn et al. 2017. EcoHealth,40,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Prevalence,Prevalence,Epidemiological,no,Comparison,23C,17C,11,11,,,,,,,,,11,10,OR,,,,,,,,,,,,,,,,,Text results 1st paragraph,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26). It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected"
315,Sonn et al. 2017. EcoHealth,41,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Prevalence,Prevalence,Epidemiological,no,Comparison,26C,14C,11,11,,,,,,,,,9,11,OR,,,,,,,,,,,,,,,,,Text results 1st paragraph,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26). It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected"
316,Sonn et al. 2017. EcoHealth,41,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Prevalence,Prevalence,Epidemiological,no,Comparison,26C,20C,11,11,,,,,,,,,9,9,OR,,,,,,,,,,,,,,,,,Text results 1st paragraph,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26). It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected"
317,Sonn et al. 2017. EcoHealth,40,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion surviving,Survivorship,Uninfected demographic,no,Contingency table,23C,11C,11,11,,,,,,,,,11,5,OR,,,,,,,,,,,,,,,,,Fig 3,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26). It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected. Point taken at day 99 for 1st round, and 89 for 2nd round "
318,Sonn et al. 2017. EcoHealth,40,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion surviving,Survivorship,Uninfected demographic,no,Contingency table,23C,17C,11,11,,,,,,,,,11,11,OR,,,,,,,,,,,,,,,,,Fig 3,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26). It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected. Point taken at day 99 for 1st round, and 89 for 2nd round "
319,Sonn et al. 2017. EcoHealth,41,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion surviving,Survivorship,Uninfected demographic,no,Contingency table,26C,14C,7,7,,,,,,,,,7,7,OR,,,,,,,,,,,,,,,,,Fig 3,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26). It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected. Point taken at day 99 for 1st round, and 89 for 2nd round "
320,Sonn et al. 2017. EcoHealth,41,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion surviving,Survivorship,Uninfected demographic,no,Contingency table,26C,20C,7,7,,,,,,,,,7,6,OR,,,,,,,,,,,,,,,,,Fig 3,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26). It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected. Point taken at day 99 for 1st round, and 89 for 2nd round "
321,Sonn et al. 2017. EcoHealth,40,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion surviving,Survivorship,Infected demographic,no,Contingency table,23C,11C,11,11,,,,,,,,,6,0,OR,,,,,,,,,,,,,,,,,Fig 3,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26). It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected. Point taken at day 99 for 1st round, and 89 for 2nd round "
322,Sonn et al. 2017. EcoHealth,40,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion surviving,Survivorship,Infected demographic,no,Contingency table,23C,17C,11,10,,,,,,,,,6,3,OR,,,,,,,,,,,,,,,,,Fig 3,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26). It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected. Point taken at day 99 for 1st round, and 89 for 2nd round "
323,Sonn et al. 2017. EcoHealth,41,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion surviving,Survivorship,Infected demographic,no,Contingency table,26C,14C,9,11,,,,,,,,,9,2,OR,,,,,,,,,,,,,,,,,Fig 3,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26). It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected. Point taken at day 99 for 1st round, and 89 for 2nd round "
324,Sonn et al. 2017. EcoHealth,41,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion surviving,Survivorship,Infected demographic,no,Contingency table,26C,20C,9,9,,,,,,,,,9,8,OR,,,,,,,,,,,,,,,,,Fig 3,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26). It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected. Point taken at day 99 for 1st round, and 89 for 2nd round "
325,Shostak et al. 2015. Journal of Parasitology,42,AVS,Tribolium confusum,Arthropod,Hymenolepis diminuta,Helminth,Experimental,diatomaceous earth,Toxin,Parasite abundace,Intensity,Epidemiological,yes,Comparison,DE_0_Exp3,DE_6_Exp3,96,86,7.8,,6.5,9.4,7.1,,5.4,9.1,,,Wald CI,,,,,,,,,,,,,,,,,Table 1,"5 replicates per treatment. But authors pooled individuals across replicates to evaluate parasite intensity. Prior to pooling, they evaluated if there were differences between replicates of a given treatment. They also give Max-Min as variation type"
326,Shostak et al. 2015. Journal of Parasitology,42,AVS,Tribolium confusum,Arthropod,Hymenolepis diminuta,Helminth,Experimental,diatomaceous earth,Toxin,Parasite abundace,Intensity,Epidemiological,yes,Comparison,DE_0_Exp3,DE_10_Exp3,96,49,7.8,,6.5,9.4,5.6,,4.3,7.4,,,Wald CI,,,,,,,,,,,,,,,,,Table 1,"5 replicates per treatment. But authors pooled individuals across replicates to evaluate parasite intensity. Prior to pooling, they evaluated if there were differences between replicates of a given treatment. They also give Max-Min as variation type"
327,Shostak et al. 2015. Journal of Parasitology,42,AVS,Tribolium confusum,Arthropod,Hymenolepis diminuta,Helminth,Experimental,diatomaceous earth,Toxin,Parasite abundace,Intensity,Epidemiological,yes,Comparison,DE_0_Exp3,DE_14_Exp3,96,15,7.8,,6.5,9.4,5.3,,3.5,8.2,,,Wald CI,,,,,,,,,,,,,,,,,Table 1,"5 replicates per treatment. But authors pooled individuals across replicates to evaluate parasite intensity. Prior to pooling, they evaluated if there were differences between replicates of a given treatment. They also give Max-Min as variation type"
328,Shostak et al. 2015. Journal of Parasitology,43,AVS,Tribolium confusum,Arthropod,Hymenolepis diminuta,Helminth,Experimental,diatomaceous earth,Toxin,Parasite abundace,Intensity,Epidemiological,yes,Comparison,DE_0_Exp4,DE_5_Exp4,94,74,16.5,,14.2,19.1,13.4,,11.4,15.7,,,Wald CI,,,,,,,,,,,,,,,,,Table 1,"5 replicates per treatment. But authors pooled individuals across replicates to evaluate parasite intensity. Prior to pooling, they evaluated if there were differences between replicates of a given treatment. Max-Min also given"
329,Shostak et al. 2015. Journal of Parasitology,43,AVS,Tribolium confusum,Arthropod,Hymenolepis diminuta,Helminth,Experimental,diatomaceous earth,Toxin,Parasite abundace,Intensity,Epidemiological,yes,Comparison,DE_0_Exp4,DE_10_Exp4,94,21,16.5,,14.2,19.1,7.2,,5.4,10.2,,,Wald CI,,,,,,,,,,,,,,,,,Table 1,"5 replicates per treatment. But authors pooled individuals across replicates to evaluate parasite intensity. Prior to pooling, they evaluated if there were differences between replicates of a given treatment. Max-Min also given"
330,Shostak et al. 2015. Journal of Parasitology,44,AVS,Tribolium confusum,Arthropod,Hymenolepis diminuta,Helminth,Experimental,diatomaceous earth,Toxin,Parasite abundace,Intensity,Epidemiological,yes,Comparison,DE_0_Exp5_M,DE_4_Exp5_M,111,105,19.4,,16.7,22.2,19.9,,17.5,22.8,,,Wald CI,,,,,,,,,,,,,,,,,Table 1,"6 replicates per treatment. But authors pooled individuals across replicates to evaluate parasite intensity. Prior to pooling, they evaluated if there were differences between replicates of a given treatment. They algo give Max-Min"
331,Shostak et al. 2015. Journal of Parasitology,44,AVS,Tribolium confusum,Arthropod,Hymenolepis diminuta,Helminth,Experimental,diatomaceous earth,Toxin,Parasite abundace,Intensity,Epidemiological,yes,Comparison,DE_0_Exp5_M,DE_8_Exp5_M,111,62,19.4,,16.7,22.2,11.4,,9.6,13.4,,,Wald CI,,,,,,,,,,,,,,,,,Table 1,"6 replicates per treatment. But authors pooled individuals across replicates to evaluate parasite intensity. Prior to pooling, they evaluated if there were differences between replicates of a given treatment. They algo give Max-Min"
332,Shostak et al. 2015. Journal of Parasitology,44,AVS,Tribolium confusum,Arthropod,Hymenolepis diminuta,Helminth,Experimental,diatomaceous earth,Toxin,Parasite abundace,Intensity,Epidemiological,yes,Comparison,DE_0_Exp5_Mated,DE_4_Exp5_Mated,108,103,17.1,,14.2,20.8,15.6,,13.3,18.8,,,Wald CI,,,,,,,,,,,,,,,,,Table 1,"6 replicates per treatment. But authors pooled individuals across replicates to evaluate parasite intensity. Prior to pooling, they evaluated if there were differences between replicates of a given treatment. They algo give Max-Min"
